Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial048,P01,Coral,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,143,-,-,0,0,0,0,0,0,-,0,1,143.9,100,0,0,0,0,-
Trial050,lhj,CornflowerBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2795,248.2,5427,2235.7,2547.5,2547.5,2547.5,843.9,1,0,4,1,2795.8,100,80,91.1,2435.7,87.1,-
Trial041,xyn,Crimson,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1310,262.9,5766,619.4,760,820,856,760,1,0,1,1,1310.8,100,47.3,58,760,58,-
Trial041,WCF,Cyan,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1862,1154.3,9304,1036.3,664,879.8,923.8,396.1,2,1,3,1,1862.2,100,55.6,35.7,640,34.4,-
Trial041,YYH,DarkBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1545,445.6,7008,988,1099.9,1155.9,1155.9,895.8,1,0,2,1,1545.5,100,63.9,71.2,1063.9,68.8,-
Trial041,CBL,DarkCyan,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1230,286.3,6123,335.7,391.9,491.8,531.8,283.9,2,1,2,1,1230.3,100,27.3,31.9,391.9,31.9,-
Trial042,MJC,DarkGoldenrod,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2092,936.7,8925,1168,1156,1196,1196,488,1,0,3,1,2092.7,100,55.8,55.2,1043.9,49.9,-
Trial041,FZL,DarkGray,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1811,228,4837,1024.1,956,984,984,308.1,2,1,3,1,1811.7,100,56.5,52.8,836.1,46.1,-
Trial041,XC (1),DarkKhaki,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2647,403.7,6779,721.4,644,699.9,804,396,2,1,2,1,2647.4,100,27.3,24.3,644,24.3,-
Trial041,WW,DarkMagenta,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1711,447.3,7023,1151.7,1247.9,1279.9,1279.9,431.9,1,0,3,1,1711.1,100,67.3,72.9,1223.2,71.5,-
Trial041,LJY,DarkOliveGreen,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1546,246.8,5387,855.8,1299.9,1347.8,1347.8,200,1,0,2,1,1546.7,100,55.3,84,1271.9,82.2,-
Trial007,gyx,DarkOrchid,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1694,446.3,7017,287.9,704,704,740,704,1,0,1,1,1694.3,100,17,41.6,704,41.6,-
Trial047,gyx,DarkOrchid,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1746,754.9,8360,959.4,991.9,1015.9,1015.9,991.9,1,0,1,1,1746.7,100,54.9,56.8,991.9,56.8,-
Trial007,CJY,DarkRed,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1612,221.2,4645,479.8,451.9,491.9,523.9,207.9,1,0,2,1,1613,100,29.7,28,423.9,26.3,-
Trial047,CJY,DarkRed,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1680,540.5,7480,839.6,1139.9,1167.9,1167.9,1139.9,1,0,1,1,1680.3,100,50,67.8,1139.9,67.8,-
Trial007,CY,DarkSalmon,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2662,251.2,5510,431.9,384,431.9,467.9,384,1,0,1,1,2662.9,100,16.2,14.4,384,14.4,-
Trial048,CY,DarkSalmon,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1995,959.8,8981,1055.8,1035.9,1119.8,1119.8,1035.9,1,0,1,1,1995.7,100,52.9,51.9,1035.9,51.9,-
Trial008,CXM,DarkSeaGreen,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,3611,880.3,8771,792,552.1,648,756,88,2,1,3,1,3611.9,100,21.9,15.3,504,14,-
Trial051,CXM,DarkSeaGreen,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2463,295.9,6225,1547.7,1475.9,1659.6,1739.6,92,3,2,8,1,2463.7,100,62.8,59.9,1131.9,45.9,-
Trial007,ZA,DarkSlateBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,3044,-,-,48,0,0,0,0,0,-,0,1,3044.8,100,1.6,0,0,0,-
Trial047,ZA,DarkSlateBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2563,1175.4,9337,1095.8,1163.7,1254.4,1282.7,747.9,2,1,2,1,2563.1,100,42.8,45.4,1163.7,45.4,-
Trial007,WJ,DarkSlateGray,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1713,-,-,427.9,0,60,60,0,0,-,0,1,1713.7,100,25,0,0,0,-
Trial047,WJ,DarkSlateGray,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1230,563,7610,751.9,667.9,691.9,691.9,667.9,1,0,1,1,1230.9,100,61.1,54.3,667.9,54.3,-
Trial007,YDS,DarkTurquoise,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1381,592.9,7772,368,388,424,424,332,1,0,1,1,1381.2,100,26.6,28.1,332,24,-
Trial048,YDS,DarkTurquoise,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1145,653.6,8023,512,492,528,528,492,1,0,1,1,1145.6,100,44.7,42.9,492,42.9,-
Trial007,CYY,DarkViolet,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1594,218.6,4575,272,240,300,300,192,1,0,1,1,1594.4,100,17.1,15,192,12,-
Trial049,CYY,DarkViolet,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2562,486.5,7239,1111.7,463.9,547.9,575.9,463.9,1,0,1,1,2562.2,100,43.4,18.1,463.9,18.1,-
Trial007,CLH,DeepPink,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2147,359.3,6528,556.8,480,524,615.9,196,3,2,3,1,2147.1,100,25.9,22.4,440,20.5,-
Trial048,CLH,DeepPink,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2083,291.6,6181,1587.9,1791.8,1847.8,1847.8,124,1,0,2,1,2083.4,100,76.2,86,1767.8,84.9,-
Trial007,LBB,DeepSkyBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1814,-,-,356,0,28,28,0,0,-,0,1,1814.5,100,19.6,0,0,0,-
Trial047,LBB,DeepSkyBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1394,630.8,7948,711.8,763.9,799.9,799.9,763.9,1,0,1,1,1394.7,100,51,54.8,763.9,54.8,-
Trial007,fm,DimGray,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,6013,546.2,7509,827.5,248,372,372,184,1,0,1,1,6013.5,100,13.8,4.1,184,3.1,-
Trial047,fm,DimGray,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2044,412.8,6838,1384,1499.9,1587.8,1619.9,156,2,1,5,1,2044.7,100,67.7,73.4,1391.9,68.1,-
Trial007,HXH,DodgerBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,3379,336.4,6431,747.9,679.9,755.9,835.9,124,2,1,3,1,3380,100,22.1,20.1,627.9,18.6,-
Trial047,HXH,DodgerBlue,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,3098,311,6326,908.6,336,400,448,336,1,0,1,1,3098.6,100,29.3,10.8,336,10.8,-
Trial007,MEG,Firebrick,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2731,691.2,8164,856.3,647.9,675.9,711.8,647.9,1,0,1,1,2731,100,31.4,23.7,647.9,23.7,-
Trial047,MEG,Firebrick,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,2095,295.9,6224,1671.8,1799.9,1831.9,1831.9,1027.8,1,0,3,1,2095.7,100,79.8,85.9,1735.9,82.8,-
Trial008,WQ,ForestGreen,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1663,-,-,28,0,0,0,0,0,-,0,1,1663.6,100,1.7,0,0,0,-
Trial048,WQ,ForestGreen,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1359,223.7,4700,756,439.8,483.8,547.3,239.9,2,1,2,1,1359.6,100,55.6,32.3,403.8,29.7,-
Trial008,cpl,Gainsboro,1d1.jpg,AOI 003,,Local,1,11532,1.5,0,1580,224.5,4719,223.9,240,287.9,311.9,240,1,0,1,1,1580.3,100,14.2,15.2,240,15.2,-
